,éûçè,K [ﬂC],WT [ﬂC],MG [ﬂC],SC [ﬂC],No5 [V],No6 [V],No7 [V],No8 [V],No9 [V],No10 [V],No11 [V],No12 [V]
2021/10/14,12:13:00,9.87,10.99,10.98,10.39,0,0,0,0,0,0,0,0
2021/10/14,12:13:05,9.84,10.69,10.82,10.36,0,0,0,0,0,0,0,0
2021/10/14,12:13:10,9.92,10.68,11.05,10.35,0,0,0,0,0,0,0,0
2021/10/14,12:13:15,9.64,10.63,10.83,10.32,0,0,0,0,0,0,0,0
2021/10/14,12:13:20,9.88,10.61,10.89,10.34,0,0,0,0,0,0,0,0
2021/10/14,12:13:25,9.63,10.69,10.76,10.36,0,0,0,0,0,0,0,0
2021/10/14,12:13:30,9.77,10.67,10.85,10.4,0,0,0,0,0,0,0,0
2021/10/14,12:13:35,9.66,11,10.83,10.27,0,0,0,0,0,0,0,0
2021/10/14,12:13:40,9.64,10.32,10.8,10.34,0,0,0,0,0,0,0,0
2021/10/14,12:13:45,9.63,10.87,10.76,10.27,0,0,0,0,0,0,0,0
2021/10/14,12:13:50,9.63,10.25,10.75,10.27,0,0,0,0,0,0,0,0
2021/10/14,12:13:55,9.6,10.71,10.71,10.22,0,0,0,0,0,0,0,0
2021/10/14,12:14:00,9.52,10.5,10.56,10.2,0,0,0,0,0,0,0,0
2021/10/14,12:14:05,9.67,10.59,10.92,10.28,0,0,0,0,0,0,0,0
2021/10/14,12:14:10,9.4,10.56,10.73,10.25,0,0,0,0,0,0,0,0
2021/10/14,12:14:15,9.63,10.55,10.89,10.24,0,0,0,0,0,0,0,0
2021/10/14,12:14:20,9.34,10.53,10.67,10.21,0,0,0,0,0,0,0,0
2021/10/14,12:14:25,9.45,10.48,10.7,10.24,0,0,0,0,0,0,0,0
2021/10/14,12:14:30,9.54,10.82,10.66,10.11,0,0,0,0,0,0,0,0
2021/10/14,12:14:35,9.5,10.09,10.63,10.21,0,0,0,0,0,0,0,0
2021/10/14,12:14:40,9.58,10.44,10.77,10.1,0,0,0,0,0,0,0,0
2021/10/14,12:14:45,9.44,10.75,10.59,10.03,0,0,0,0,0,0,0,0
2021/10/14,12:14:50,9.42,10.01,10.56,10.06,0,0,0,0,0,0,0,0
2021/10/14,12:14:55,9.42,10.63,10.53,9.97,0,0,0,0,0,0,0,0
2021/10/14,12:15:00,9.4,10.01,10.53,10.02,0,0,0,0,0,0,0,0
2021/10/14,12:15:05,9.35,10.31,10.62,10,0,0,0,0,0,0,0,0
2021/10/14,12:15:10,9.18,10.27,10.37,9.99,0,0,0,0,0,0,0,0
2021/10/14,12:15:15,9.42,10.26,10.62,9.95,0,0,0,0,0,0,0,0
2021/10/14,12:15:20,9.18,10.23,10.34,9.92,0,0,0,0,0,0,0,0
2021/10/14,12:15:25,9.52,10.22,10.62,9.89,0,0,0,0,0,0,0,0
2021/10/14,12:15:30,9.2,10.19,10.48,9.82,0,0,0,0,0,0,0,0
2021/10/14,12:15:35,9.31,10.13,10.44,9.86,0,0,0,0,0,0,0,0
2021/10/14,12:15:40,9.28,10.53,10.44,9.78,0,0,0,0,0,0,0,0
2021/10/14,12:15:45,9.26,9.79,10.43,9.82,0,0,0,0,0,0,0,0
2021/10/14,12:15:50,9.24,10.09,10.5,9.77,0,0,0,0,0,0,0,0
2021/10/14,12:15:55,9.08,10.17,10.24,9.84,0,0,0,0,0,0,0,0
2021/10/14,12:16:00,9.3,10.14,10.46,9.83,0,0,0,0,0,0,0,0
2021/10/14,12:16:05,9.05,10.11,10.15,9.8,0,0,0,0,0,0,0,0
2021/10/14,12:16:10,9.27,10.08,10.42,9.79,0,0,0,0,0,0,0,0
2021/10/14,12:16:15,9.01,10.06,10.26,9.69,0,0,0,0,0,0,0,0
2021/10/14,12:16:20,9.1,9.71,10.25,9.77,0,0,0,0,0,0,0,0
2021/10/14,12:16:25,9.08,10.29,10.24,9.66,0,0,0,0,0,0,0,0
2021/10/14,12:16:30,9.08,9.62,10.22,9.73,0,0,0,0,0,0,0,0
2021/10/14,12:16:35,9.03,10.25,10.18,9.59,0,0,0,0,0,0,0,0
2021/10/14,12:16:40,9.02,9.62,10.15,9.62,0,0,0,0,0,0,0,0
